Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.","Norman Doidge, Ethan Van Sciver","=""0345816021""","=""9780345816023""",4,3.97,Random House Canada,Hardcover,409,2018,2018,2019/05/05,2018/12/04,,,read,,,,1,,,0,,,,,
23995360,Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,"Tetlock, Philip E.",Dan Gardner,"=""0804136696""","=""9780804136693""",0,4.09,Crown,Hardcover,352,2015,2015,,2019/04/11,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
514210,The Way of Zen,Alan W. Watts,"Watts, Alan W.",,"=""0375705104""","=""9780375705106""",4,4.18,Vintage,Paperback,236,1999,1957,2019/04/10,2019/02/09,,,read,,,,1,,,0,,,,,
29353087,The Science of Mindfulness: A Research-Based Path to Well-Being,Ronald D. Siegel,"Siegel, Ronald D.",,"=""1598035649""","=""9781598035643""",5,4.22,The Teaching Company,Audio CD,6,2014,2014,2019/04/08,2018/12/24,,,read,,,,1,,,0,,,,,
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",5,4.14,Portfolio,Hardcover,226,2016,2016,2019/02/21,2018/12/31,,,read,,,,1,,,0,,,,,
27869637,The Addictive Brain,Thad A. Polk,"Polk, Thad A.",,"=""""","=""""",4,4.11,Audible,Audible Audio,7,2015,,2019/02/13,2019/01/29,,,read,,,,1,,,0,,,,,
3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"Pollan, Michael",,"=""1594200823""","=""9781594200823""",0,4.18,The Penguin Press,Hardcover,450,2006,2006,,2019/02/09,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
7015403,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,"Brown, Brené",,"=""159285849X""","=""9781592858491""",4,4.20,Hazelden Publishing,Paperback,138,2010,2010,2019/01/29,2018/12/31,,,read,,,,1,,,0,,,,,
41150906,The Order of Time,Carlo Rovelli,"Rovelli, Carlo",,"=""""","=""""",5,4.07,Penguin,Paperback,240,2018,2017,2019/01/14,2019/01/06,,,read,,,,1,,,0,,,,,
35068612,The Rise and Fall of the Dinosaurs: A New History of a Lost World,Stephen Brusatte,"Brusatte, Stephen",,"=""0062490451""","=""9780062490452""",4,4.19,William Morrow,ebook,416,2018,2018,2019/01/05,2018/12/14,,,read,,,,1,,,0,,,,,
582533,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,"Gawain, Shakti",,"=""1577312295""","=""9781577312291""",5,4.14,"New World Library, Nataraj",Paperback,192,2002,1978,2019/01/01,2018/11/15,,,read,,,,1,,,0,,,,,
